id,source_unique_tokens,source_word_count,source_line_count,mean_source_form_neighbor_similarity,mean_text_only_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_source_form_only_crps,add_count_text_only_crps,delete_count_observed,delete_count_marginal_crps,delete_count_source_form_only_crps,delete_count_text_only_crps,word_count_observed,word_count_marginal_crps,word_count_source_form_only_crps,word_count_text_only_crps,line_count_observed,line_count_marginal_crps,line_count_source_form_only_crps,line_count_text_only_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_source_form_only_crps,source_similarity_text_only_crps
train_0001,57,92,21,0.682926,0.181077,17.000000,10.233458,11.552326,10.527935,51.000000,4.769315,4.474825,4.481855,62.000000,19.378722,17.635670,15.989701,16.000000,4.017026,3.347029,4.190930,0.233766,0.042370,0.045411,0.040565
train_0002,44,101,1,0.684625,0.201339,21.000000,7.868700,7.696348,6.637610,30.000000,2.108790,2.153549,1.428809,58.000000,25.363587,26.082479,24.288620,21.000000,14.378677,12.328824,14.267144,0.264151,0.053792,0.049662,0.042695
train_0003,32,33,2,0.595538,0.085966,18.000000,9.557813,8.567739,8.545891,27.000000,1.718248,1.883963,1.454118,37.000000,12.142471,12.986037,12.183134,1.000000,1.086483,2.038458,1.090623,0.114286,0.044042,0.036897,0.030998
train_0004,33,46,1,0.676789,0.162327,27.000000,6.098509,5.205222,5.319973,25.000000,1.066031,1.019825,1.118374,89.000000,26.906806,23.428527,30.629470,20.000000,13.432773,11.916501,12.995511,0.133333,0.037797,0.032638,0.045393
train_0005,27,28,1,0.643692,0.128577,33.000000,6.017432,5.169007,5.030846,21.000000,0.906432,0.941832,0.793811,114.000000,56.108103,45.181603,54.305999,20.000000,13.432773,11.798507,13.589490,0.084507,0.056921,0.040619,0.047618
train_0006,56,132,1,0.659935,0.144911,43.000000,8.044367,8.008679,8.620725,46.000000,2.479465,2.670433,3.070490,112.000000,16.665961,15.171762,17.476858,1.000000,0.541462,1.111803,0.526507,0.418033,0.159605,0.149099,0.115411
train_0007,84,152,1,0.719226,0.197022,55.000000,13.165758,10.670851,11.261854,60.000000,3.159215,3.459901,3.220682,142.000000,15.103869,13.905971,16.261064,1.000000,0.541462,0.739515,0.668026,0.265306,0.054323,0.044095,0.050641
train_0008,31,53,1,0.678947,0.158548,22.000000,7.436287,6.280393,5.281815,24.000000,1.028012,1.026522,1.109572,30.000000,16.238187,19.153791,14.496911,21.000000,14.378677,12.417019,14.539884,0.072289,0.064058,0.060194,0.095484
train_0009,201,378,21,0.359400,0.227362,24.000000,6.747129,8.674147,8.156797,161.000000,7.651789,6.342286,5.840923,118.000000,215.649836,169.756682,181.468464,22.000000,1.598216,2.489535,1.857823,0.237903,0.043530,0.044627,0.041713
train_0010,26,75,20,0.563724,0.187998,15.000000,11.692852,10.540235,9.247988,18.000000,1.145902,0.974071,0.799577,23.000000,30.057520,33.941105,33.248458,1.000000,14.300347,11.336444,14.968882,0.081633,0.058397,0.079067,0.085971
train_0011,20,20,1,0.599896,0.079351,43.000000,8.044367,8.352726,9.263161,17.000000,1.134713,1.109514,1.021770,56.000000,20.603892,14.988963,19.107202,1.000000,0.541462,0.972801,0.396354,0.078947,0.059861,0.040140,0.054345
train_0012,45,58,1,0.683055,0.109464,26.000000,6.233638,6.432153,6.097823,34.000000,1.453181,1.412843,1.571835,65.000000,13.814468,13.254167,16.142573,11.000000,6.851989,5.432526,7.470738,0.162602,0.032910,0.029850,0.035148
train_0013,45,92,20,0.662058,0.181116,26.000000,6.233638,6.241178,5.193696,35.000000,1.510720,1.560530,1.882603,68.000000,17.419350,15.619544,15.272595,20.000000,1.030674,1.665085,1.323602,0.125000,0.040152,0.050690,0.066519
train_0014,28,79,19,0.582631,0.180540,22.000000,7.436287,6.547648,6.769606,17.000000,2.582457,2.153156,2.227629,101.000000,18.203234,17.020937,17.539445,1.000000,13.515517,10.577063,13.427174,0.544444,0.276141,0.240667,0.200426
train_0015,22,60,1,0.583879,0.136557,81.000000,30.935228,34.759013,32.396564,18.000000,0.948980,1.108149,1.140296,135.000000,49.097248,43.117490,46.225155,20.000000,13.432773,11.562960,15.281697,0.266667,0.054967,0.057103,0.047376
train_0016,18,18,1,0.550634,0.120706,32.000000,5.963380,5.056249,6.383108,15.000000,0.878313,0.866696,1.199899,51.000000,18.857799,13.879068,15.418214,20.000000,13.432773,12.252726,13.265736,0.086957,0.055726,0.037571,0.079591
train_0017,47,68,1,0.717018,0.151278,20.000000,8.395703,8.231520,9.032117,45.000000,6.310772,6.593243,5.816821,22.000000,26.430206,29.688462,17.227366,18.000000,11.919328,9.395444,13.220737,0.044444,0.084838,0.087309,0.086214
train_0018,69,106,1,0.730970,0.172400,119.000000,66.352552,63.373371,64.579805,35.000000,12.505004,13.494024,14.173013,271.000000,133.178325,137.326495,154.290375,1.000000,0.541462,0.730391,0.406203,0.185676,0.032634,0.028789,0.027630
train_0019,35,61,1,0.688737,0.182166,11.000000,14.976488,13.882297,14.568352,32.000000,3.426111,4.029684,4.192142,15.000000,26.239223,30.652213,26.475827,11.000000,6.851989,5.727953,7.350534,0.052632,0.078403,0.084365,0.106089
train_0020,78,100,20,0.648178,0.137381,49.000000,10.273997,10.230865,9.486939,67.000000,4.781158,4.164075,4.904133,77.000000,17.194180,15.437770,17.355175,20.000000,1.030674,1.813244,1.106598,0.124294,0.040372,0.045540,0.041656
train_0021,38,70,1,0.704183,0.186208,33.000000,6.017432,6.285158,6.218475,22.000000,4.370849,4.294064,4.197365,66.000000,13.904869,13.837353,11.707775,1.000000,0.541462,1.412784,0.938883,0.176471,0.032515,0.029672,0.040946
train_0022,73,146,20,0.651060,0.190229,53.000000,12.138778,12.351683,10.976671,46.000000,5.523333,6.952507,6.735119,167.000000,18.296113,23.531016,29.194892,1.000000,14.300347,9.913043,13.191647,0.408946,0.151791,0.135189,0.143961
train_0023,150,318,20,0.421993,0.232324,106.000000,53.690960,52.310075,50.774346,104.000000,6.561081,8.266112,8.578219,265.000000,31.290572,23.978653,21.419709,1.000000,14.300347,10.569618,13.304031,0.171527,0.032582,0.035388,0.033083
train_0024,30,87,19,0.589675,0.175538,15.000000,11.692852,10.975446,8.031175,23.000000,0.978093,1.092986,1.192441,23.000000,37.922211,40.921465,39.620579,2.000000,12.758795,9.486624,13.281292,0.145455,0.034979,0.047451,0.051186
train_0025,36,62,20,0.607644,0.108971,70.000000,22.516688,25.168048,21.142079,22.000000,3.212199,2.848791,2.671142,132.000000,45.473898,44.894054,41.780334,19.000000,1.503626,1.631797,1.516755,0.164948,0.032783,0.040645,0.032707
train_0026,19,20,1,0.589307,0.081951,26.000000,6.233638,5.420879,5.361675,15.000000,0.674941,0.701250,0.618734,31.000000,11.550245,11.436667,12.420350,1.000000,0.541462,0.986730,0.459664,0.078431,0.060161,0.040221,0.040315
train_0027,72,117,1,0.727440,0.169500,32.000000,5.963380,6.753482,5.658274,47.000000,4.446986,4.897402,4.861873,111.000000,14.590424,13.285081,17.560505,1.000000,0.541462,0.720778,0.368024,0.324561,0.087117,0.077372,0.076519
train_0028,18,19,1,0.564379,0.091875,37.000000,6.544435,5.949508,6.500511,16.000000,1.434979,1.440796,1.463611,62.000000,24.260439,17.439590,21.921384,1.000000,0.541462,1.012247,0.750940,0.024691,0.101690,0.080618,0.096488
train_0029,22,22,14,0.482277,0.081625,22.000000,7.436287,6.039877,6.262680,18.000000,0.948980,1.193343,1.128527,54.000000,19.066213,13.832111,21.265944,13.000000,1.400703,1.387140,1.287916,0.078947,0.059861,0.050030,0.069973
train_0030,24,29,20,0.518394,0.084834,35.000000,6.233638,6.638761,6.690752,20.000000,1.171084,1.509895,1.606437,84.000000,33.154182,25.914840,29.723116,19.000000,1.503626,1.649255,1.233802,0.123894,0.040501,0.038072,0.047074
train_0031,126,217,20,0.491963,0.211621,28.000000,6.017432,7.399883,5.967520,102.000000,5.099739,4.647839,3.875646,93.000000,86.617315,65.556066,57.239207,19.000000,1.503626,2.253619,1.370842,0.200000,0.034565,0.036182,0.030623
train_0032,96,136,1,0.701987,0.191812,46.000000,9.111887,7.607743,8.414243,77.000000,3.682822,3.330824,3.060136,85.000000,29.960677,22.061780,21.526964,1.000000,0.541462,0.709788,0.625198,0.126697,0.039648,0.044910,0.039409
train_0033,27,28,20,0.517091,0.079444,6.000000,19.435746,18.040283,19.127495,14.000000,4.602495,4.201316,3.880204,20.000000,11.988469,16.511941,13.482033,14.000000,4.719697,3.848213,5.393912,0.375000,0.124041,0.134660,0.105664
train_0034,57,83,1,0.745452,0.160937,44.000000,8.382190,8.763966,9.059156,38.000000,3.115789,3.146601,3.411297,110.000000,20.161930,20.833835,26.759437,1.000000,0.541462,1.213937,0.817485,0.259067,0.051554,0.047919,0.049256
train_0035,93,154,1,0.706797,0.175112,35.000000,6.233638,6.287093,7.399818,66.000000,3.607736,4.085624,3.785010,107.000000,27.674114,20.331208,23.691228,1.000000,0.541462,0.724710,0.358858,0.298851,0.071374,0.062890,0.068187
train_0036,54,78,1,0.737573,0.157120,70.000000,22.516688,23.519202,20.951411,36.000000,2.951800,2.944218,3.188671,159.000000,54.359263,54.544159,59.541093,1.000000,0.541462,1.232888,0.554057,0.202532,0.035010,0.031257,0.029971
train_0037,38,84,20,0.638585,0.182166,19.000000,8.949732,8.119536,7.025533,36.000000,4.765865,5.356419,5.646449,21.000000,37.202784,38.636746,39.889338,20.000000,1.030674,1.711862,1.097148,0.019048,0.107008,0.129405,0.136805
train_0038,84,93,20,0.605408,0.113598,76.000000,27.016486,26.588530,25.880494,63.000000,2.722249,2.849024,2.589436,108.000000,16.214720,19.386131,21.582201,20.000000,1.030674,1.785121,1.077467,0.119403,0.042091,0.046778,0.041152
train_0039,58,126,21,0.686253,0.198784,55.000000,13.165758,13.098293,14.576101,38.000000,3.509100,4.116097,2.686241,151.000000,19.702581,22.911775,18.887139,19.000000,2.084681,2.186068,2.290632,0.353791,0.107803,0.088795,0.082689
train_0040,35,80,20,0.629099,0.179433,80.000000,30.124454,32.837215,33.205977,20.000000,4.253368,4.037764,3.714321,156.000000,50.341426,52.494564,54.663710,20.000000,1.030674,1.754517,1.448432,0.245763,0.046172,0.046729,0.042522
train_0041,45,90,1,0.719039,0.197731,15.000000,11.692852,10.794149,8.970112,28.000000,3.647124,3.892505,2.728107,89.000000,14.112653,13.035703,11.465650,20.000000,13.432773,11.216978,13.444322,0.469274,0.205413,0.208471,0.164579
train_0042,58,87,1,0.747425,0.173084,9.000000,16.706139,16.909237,21.021633,48.000000,2.699496,2.897473,2.313738,21.000000,39.300527,41.091031,28.248582,1.000000,0.541462,1.084459,0.619187,0.148148,0.034536,0.036467,0.037593
train_0043,58,101,20,0.701034,0.130765,25.000000,6.463358,7.260306,6.853569,43.000000,1.922387,2.010696,1.913738,66.000000,21.417819,19.126746,18.935976,20.000000,1.030674,1.619261,0.991934,0.323353,0.086317,0.077660,0.095638
train_0044,44,99,20,0.654235,0.178423,16.000000,10.949642,10.809317,8.617389,25.000000,5.476429,5.621349,4.182602,66.000000,20.551281,18.404564,21.170422,20.000000,1.030674,1.757170,1.048207,0.363636,0.115194,0.098271,0.095591
train_0045,52,89,20,0.673785,0.154528,72.000000,23.989595,23.777706,20.200401,36.000000,2.291805,2.491433,1.994812,144.000000,35.627179,40.936003,37.134089,1.000000,14.300347,10.351517,14.438974,0.145923,0.034890,0.043596,0.036128
train_0046,31,41,22,0.548923,0.140321,27.000000,6.098509,5.344552,5.060221,22.000000,1.202579,1.060761,1.094820,88.000000,29.067880,23.557362,26.922757,20.000000,2.084681,1.999369,2.193544,0.248062,0.047065,0.050519,0.053033
train_0047,38,95,1,0.652248,0.173466,16.000000,10.949642,9.940473,8.318825,22.000000,4.370849,4.390606,3.520639,96.000000,14.178415,12.644993,12.712619,22.000000,15.365119,12.526992,15.384534,0.617801,0.348027,0.341283,0.302297
train_0048,62,159,22,0.617794,0.192672,23.000000,7.071438,7.420964,9.046051,48.000000,2.056024,1.985641,1.802244,91.000000,41.046484,34.402899,33.713200,21.000000,1.503626,1.954114,1.748458,0.368000,0.118555,0.101674,0.105501
